Individual ID (paper),delta13ccol,delta15n,delta13cap,C/N,RCYBP,Error,MidPoint,PeriodName,PeriodID,age,sex,site,Setting2,Setting,Estimated Latitude,Estimated Longitude,material,body part,source,
165,-19.1,12.2,-9.2,3.2,,,1758,Late Archaic I,3,Child,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
112,-19.1,11.9,-11,3.2,,,1758,Late Archaic I,3,Adult,F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
171A,-19.1,11.7,-8.5,3.3,,,1758,Late Archaic I,3,Middle Adult,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
208,-19.1,11.1,-8.4,3.3,,,1758,Late Archaic I,3,Adult,F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
16B,-19.1,11,-11.5,3.2,,,1758,Late Archaic I,3,Child,U,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
226,-19,9.6,-8,3.2,,,1758,Late Archaic I,3,Adult,F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
34,-18.8,11.1,-11.2,3.3,,,1758,Late Archaic I,3,Young Adult,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
105,-18.5,10.1,-8.5,3.2,,,1758,Late Archaic I,3,Old Adult,F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
194,-18.75,11.77,-11.19,3.57,1884,27,1787,Late Archaic I,3,20-35,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
34,-19.03,12.3,-13.23,3.24,1902,26,1804,Late Archaic I,3,"25-35 (Hall), 25-49 (Dockall)",M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
170,-17.9,9.92,-11.17,3.21,1906,22,1808,Late Archaic I,3,,F,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
33,-19.85,5.95,-10.19,3.27,1916,28,1829,Late Archaic I,3,,M,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
52,-18.35,10.54,-8.8,3.31,1960,26,1888,Late Archaic I,3,"25-35 (Hall), 25-49 (Dockall)",F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
84,,,-7.94,,2058,25,2010,Late Archaic I,3,50,F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,apatite,bone,Mauldin 2020 unpublished NSF data,
21,-19.4,9.7,-10,3.2,,,2045,Late Archaic I,3,Young Adult,F,Bowser (41FB3),Riverine,TCP,29.4243375,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
68,-19.21,10.73,-11.46,3.31,2125,27,2089,Late Archaic I,3,20-Dec,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
182,-19.34,11.91,-10.04,3.26,2135,25,2107,Late Archaic I,3,"35-50 (Hall), 50+ (Dockall)",M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
FEA 3,-18.9,10.9,-7.9,3.2,2145,35,2124,Late Archaic I,3,Middle Adult,M,Cresmont (41WH39),Riverine,TCP,29.2175079,-95.7467125,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
35,-19.1,10,-8.3,3.2,,,2125,Late Archaic I,3,Unknown,U,Bowser (41FB3),Riverine,TCP,29.4243375,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
FEA 42,-18.8,11.2,-4.2,3.2,2145,40,2125,Late Archaic I,3,Young Adult,M,Cresmont (41WH39),Riverine,TCP,29.2175079,-95.7467125,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
FEA 47,-19.4,10.3,-5.5,3.3,,,2155,Late Archaic I,3,Young Adult,F,Cresmont (41WH39),Riverine,TCP,29.2175079,-95.7467125,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
FEA 6,-19.2,10.2,-5.8,3.3,,,2155,Late Archaic I,3,Young Adult,M,Cresmont (41WH39),Riverine,TCP,29.2175079,-95.7467125,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
FEA 41,-19.1,10.2,-9.6,3.3,,,2155,Late Archaic I,3,Middle Adult,F,Cresmont (41WH39),Riverine,TCP,29.2175079,-95.7467125,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
FEA 31,-19.1,10.1,-6.2,3.2,,,2155,Late Archaic I,3,Sub-Adult,U,Cresmont (41WH39),Riverine,TCP,29.2175079,-95.7467125,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
FEA 36,-19.1,10.1,-5.3,3.2,,,2155,Late Archaic I,3,Sub-Adult,U,Cresmont (41WH39),Riverine,TCP,29.2175079,-95.7467125,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
FEA 39,-19,11.1,-6.1,3.2,,,2155,Late Archaic I,3,Young Adult,M,Cresmont (41WH39),Riverine,TCP,29.2175079,-95.7467125,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
FEA 20,-19,10.2,-11.1,3.2,,,2155,Late Archaic I,3,Middle Adult,F,Cresmont (41WH39),Riverine,TCP,29.2175079,-95.7467125,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
FEA 49,-18.9,10.9,-6.1,3.3,,,2155,Late Archaic I,3,Young Adult,M,Cresmont (41WH39),Riverine,TCP,29.2175079,-95.7467125,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
FEA 25,-18.8,10.9,-11.9,3.2,,,2155,Late Archaic I,3,Middle Adult,M,Cresmont (41WH39),Riverine,TCP,29.2175079,-95.7467125,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
FEA 18,-18.7,11.4,-9.2,3.3,,,2155,Late Archaic I,3,Old Adult,M,Cresmont (41WH39),Riverine,TCP,29.2175079,-95.7467125,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
FEA 9,-18.5,10.7,-6.5,3.3,,,2155,Late Archaic I,3,Adult,F,Cresmont (41WH39),Riverine,TCP,29.2175079,-95.7467125,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
FEA 4,-18.5,10.7,-6.5,3.2,,,2155,Late Archaic I,3,Young Adult,M,Cresmont (41WH39),Riverine,TCP,29.2175079,-95.7467125,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
FEA B,-18.5,10.6,-9.7,3.3,,,2155,Late Archaic I,3,Young Adult,M,Cresmont (41WH39),Riverine,TCP,29.2175079,-95.7467125,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
167,-19.56,11.22,-8.68,3.22,2237,25,2224,Late Archaic I,3,Middle Adult,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
80,-19.59,9.62,-9.4,3.35,2249,27,2226,Late Archaic I,3,50,F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
14,-18.86,11.54,-8.92,3.42,2253,24,2226,Late Archaic I,3,"25-35 (Hall), 18-21 (Dockall)",M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
151,-19.61,10.96,-8.67,3.59,2255,27,2228,Late Archaic I,3,50,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
178,-19.6,10.8,-11.2,3.2,2220,35,2228,Late Archaic I,3,Middle Adult,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
183,-18.75,11.42,-9.86,3.4,2261,30,2231,Late Archaic I,3,25-50+,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
33/35,-19.05,11.43,-10.47,3.33,2187,27,2234,Late Archaic I,3,25-35?,M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
53,-19.52,10.67,-13.44,3.29,2187,24,2238,Late Archaic I,3,"25-35 (Hall), 25-49 (Dockall)",F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
19,-19.1,10.8,-8,3.3,,,2298,Late Archaic I,3,25-35,M,Bowser (41FB3),Riverine,TCP,29.4243375,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
89,-19.68,12.1,-9.3,3.27,2280,26,2313,Late Archaic I,3,"35-50 (Hall), 25-49 (Dockall)",M,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
36,-19,11,-7.8,3.4,,,2320,Late Archaic I,3,35-45,M,Bowser (41FB3),Riverine,TCP,29.4243375,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
16,-19.7,11.3,-11.8,3.2,,,2335,Late Archaic I,3,45,M,Bowser (41FB3),Riverine,TCP,29.4243375,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
9,-19.4,11.6,-11.2,3.3,,,2335,Late Archaic I,3,Adult,M,Bowser (41FB3),Riverine,TCP,29.4243375,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
11,-19.3,10.4,-11.5,3.3,,,2335,Late Archaic I,3,45,M,Bowser (41FB3),Riverine,TCP,29.4243375,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
7,-19.2,11.8,-11.3,3.2,,,2335,Late Archaic I,3,Adult,M,Bowser (41FB3),Riverine,TCP,29.4243375,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
24,-19.1,10.3,-9.8,3.3,,,2335,Late Archaic I,3,Adult,F,Bowser (41FB3),Riverine,TCP,29.4243375,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
26,-19,11.5,-10.6,3.3,,,2335,Late Archaic I,3,45,M,Bowser (41FB3),Riverine,TCP,29.4243375,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
23,-19,10.7,-12.2,3.3,,,2335,Late Archaic I,3,Adult,M,Bowser (41FB3),Riverine,TCP,29.4243375,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
39,-18.9,11,-9.8,3.3,,,2335,Late Archaic I,3,35-45,M,Bowser (41FB3),Riverine,TCP,29.4243375,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
5,-18.9,10.1,-10.9,3.3,,,2335,Late Archaic I,3,Adult,F,Bowser (41FB3),Riverine,TCP,29.4243375,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
33,-18.5,11.6,-8.9,3.3,,,2335,Late Archaic I,3,45,M,Bowser (41FB3),Riverine,TCP,29.4243375,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
159,-17.35,9.69,-12.14,3.37,2342,24,2350,Late Archaic I,3,35,F,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
45,-17.1,10.2,-8.9,3.2,2350,40,2376,Late Archaic I,3,25-35,M,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
160,-17.87,10.7,-14.01,3.3,2374,24,2390,Late Archaic I,3,,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
4b,-17.69,10.34,-10.99,3.31,2455,24,2542,Late Archaic I,3,,F,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
10,-18.8,10.5,-9.5,3.2,,,2550,Late Archaic I,3,25-35,M,Bowser (41FB3),Riverine,TCP,29.4243375,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
113,-8.01,11.7,-7.12,3.2,2485,40,2577,Late Archaic I,3,Adult,M,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
79,-19.55,10.75,-13.55,3.5,2485,26,2585,Late Archaic I,3,"35-50 (Hall), 25-49 (Dockall)",F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
197,-18.79,12.29,-9.87,3.2,2481,27,2585,Late Archaic I,3,"12-20 (Hall), 20-23 (Dockall)",F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
177,-19.43,12.76,-10.86,3.26,2479,25,2586,Late Archaic I,3,"20-35 (Hall), 25-49 (Dockall)",F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
10,-19.39,11.1,-9.07,3.32,2527,28,2596,Late Archaic I,3,"12-20 (Hall), 13-24 (Dockall)",F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
19,-18.29,12.84,-12.49,3.29,2555,57,2621,Late Archaic I,3,juvenile,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
3,-17.06,9.99,-10.2,3.25,2545,29,2628,Late Archaic I,3,,M,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
112,-18.03,13.35,-11.56,3.34,2566,28,2725,Late Archaic I,3,infant-2yr,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
145,-18.33,9.94,-8.34,3.37,2581,27,2734,Late Archaic I,3,12-18Y,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
12,-17.4,9.7,-10.21,3.33,2593,28,2739,Late Archaic I,3,,M,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
No #,-18.43,9.67,-10.37,3.24,2603,23,2743,Late Archaic I,3,,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
6,-18.45,9.42,-12.73,3.33,2613,28,2746,Late Archaic I,3,,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
112,-17.88,10.14,-9.68,3.32,2624,26,2749,Late Archaic I,3,,M,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
144,-18.1,9.07,-12.49,3.47,2628,29,2751,Late Archaic I,3,15-20,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
137,-16.19,10.31,-9.49,3.31,2633,26,2752,Late Archaic I,3,,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
156,-18.02,10.72,-12.59,3.37,2638,29,2755,Late Archaic I,3,juvenile,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
10,-15.42,10.37,-10.52,3.31,2657,27,2763,Late Archaic I,3,,F,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
112,-17.42,10.18,-10.42,3.28,2661,27,2766,Late Archaic I,3,,F,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
No #,-18.41,10.36,-10.59,3.3,2693,27,2790,Late Archaic I,3,,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
27,-17.67,8.31,-10.54,3.31,2697,27,2796,Late Archaic I,3,,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
155,-17.7,9.6,-10.5,3.2,2695,35,2799,Late Archaic I,3,15-20,F,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
146,-17.78,9.53,-9.54,3.63,2731,26,2816,Late Archaic I,3,,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
157,-17.89,11.23,-11.42,3.4,2769,24,2859,Late Archaic I,3,infant-1.5yr,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
51,-17.33,9.42,-9.99,3.39,2807,21,2909,Middle Archaic II,2,,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
29,-16.79,10.86,-11.27,3.35,2831,27,2932,Middle Archaic II,2,juvenile,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
No #,-17.6,9.19,-10.68,3.47,2832,29,2934,Middle Archaic II,2,,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
6(4),-17.29,8.91,-11.42,3.3,2835,29,2937,Middle Archaic II,2,,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
50,-17.25,9.62,-9.83,3.45,2854,30,2967,Middle Archaic II,2,20-30,M,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
10,-18.08,9.49,-13.2,3.45,2857,25,2972,Middle Archaic II,2,,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
41,-18,8.4,-11.63,3.3,2863,28,2982,Middle Archaic II,2,,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
224,-18.94,10.29,-6.29,3.37,2933,30,3088,Middle Archaic II,2,20-35,F,Ernest Witte (41AU36),Riverine,TCP,29.4243376,-95.9168204,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
166,-17.22,8.69,-9.9,3.4,2959,31,3120,Middle Archaic II,2,,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
No #,-18.15,9.77,-10.44,3.26,2966,29,3129,Middle Archaic II,2,,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
45,-18.6,9.8,-10.18,3.32,2987,34,3167,Middle Archaic II,2,,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
BAA-3 (AA-3),-16.34,9.6,-8.35,3.31,2990,24,3173,Middle Archaic II,2,adult,F,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
No #,-18.38,9.83,-12.28,3.22,3005,25,3195,Middle Archaic II,2,,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
54,-17.49,10.34,-10.94,3.6,3013,28,3207,Middle Archaic II,2,,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
No #,-18.35,9.88,-10.97,3.31,3026,26,3227,Middle Archaic II,2,,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
113?,-8.36,12.31,-6.37,3.23,3105,27,3318,Middle Archaic II,2,,U,Morhiss (41VT1),Riverine,TCP,28.0049681,-97.4364423,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
1,-19.2,12.4,-9.1,3.2,,,3355,Middle Archaic II,2,25-35,M,Bowser (41FB3),Riverine,TCP,29.4243375,-95.9168204,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
