Individual ID (paper),delta13ccol,delta15n,delta13cap,C/N,RCYBP,Error,MidPoint,PeriodName,PeriodID,age,sex,site,Setting2,Setting,Estimated Latitude,Estimated Longitude,material,body part,source,
3,-19,8.7,-10.2,3.2,,,2650,Late Archaic I,3,17-25,F,Olmos Dam (41BX1),Inland,Ctx,29.2808513,-98.3393699,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
5A,-17.9,8.8,-9.6,3.2,,,2650,Late Archaic I,3,17-25,M,Olmos Dam (41BX1),Inland,Ctx,29.2808513,-98.3393699,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
5,-17.7,9.3,-9.9,3.2,,,2650,Late Archaic I,3,25-35,M,Olmos Dam (41BX1),Inland,Ctx,29.2808513,-98.3393699,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
2,-17.3,8.8,-9.6,3.2,,,2650,Late Archaic I,3,17-25,M,Olmos Dam (41BX1),Inland,Ctx,29.2808513,-98.3393699,collagen and apatite,bone,"Hard, R.J. and Katzenberg, M.A., 2011. Stable isotope study of hunter-gatherer-fisher diet, mobility, and intensification on the Texas Gulf coastal plain. American Antiquity, 76(4), pp.709-751.",
"Zone/Unit I (1), Unit H, Analytical level I-24, Lot 329",-16.91,10.89,-7.02,3.21,2584,28,2735,Late Archaic I,3,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
1,-15.7,5.3,-7.8,,2690,80,2813,Late Archaic I,3,Middle-aged,F,Skyline Shelter,Inland,Ctx,29.6538843,-101.2716632,collagen and apatite,bone,Turpin and Bement 1992 in Bousman and Quigg 2006, Huebner 1991
,-15.9,7.5,-8,Unknown,,,2908,Late Archaic I,3,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Bement 1994 in Mauldin et al. 2013,
,-16.1,7.1,-8.8,Unknown,,,3250,Late Archaic I,3,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Bement 1994 in Mauldin et al. 2013,
"Zone 1, Unit C, Analytical level 24, Lot 144",-15.34,10.58,-6.5,3.33,3149,31,3376,Late Archaic I,3,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone 1, Unit C, Analytical level 23, Lot 135",-15.63,8.98,-8.92,3.52,3150,29,3378,Late Archaic I,3,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone III, Unit A, Level 10, Analytical level III-32, Lot 107",-16.28,8.56,-9.11,3.25,3215,31,3424,Middle Archaic II,2,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit G, Level 26, Lot 203",-15.13,8.14,-7.15,3.49,3245,30,3455,Middle Archaic II,2,juvenile,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit A1, Analytical level II-25, Lot 467",-15.92,8.06,-7.75,3.4,3254,26,3463,Middle Archaic II,2,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone I, Unit A1 (A1-6), Level 24, Lot 466",-15.68,8.42,-7.3,3.51,3272,30,3483,Middle Archaic II,2,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit G, Level 28, Lot 180",-15.42,8.92,-8.36,3.63,3275,29,3486,Middle Archaic II,2,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone 1, Unit D, Level 24, Lot 264",-16.36,9.06,-7.9,3.27,3292,25,3509,Middle Archaic II,2,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
